IlmnID,CHR,Relation_to_UCSC_CpG_Island,MAPINFO,Probe_SNPs_10,Probe_SNPs
cg01911472,Y,S_Shore,6781164,"",""
cg01943289,Y,"",22917296,"",""
cg01984154,Y,"",2718782,"",""
cg01988452,Y,N_Shore,22736528,"",""
cg02002345,Y,N_Shore,6777855,"",""
cg02004872,Y,Island,15815552,"",rs9786739
cg02011394,Y,Island,9194502,"",""
cg02012379,Y,"",22917894,"",""
cg02050847,Y,"",22918038,"",""
cg02056550,Y,"",8552374,"",""
cg02105393,Y,Island,2804282,rs76234727,""
cg02107461,Y,N_Shelf,14103651,"",""
cg02126249,Y,Island,9194524,"",""
cg02129146,Y,N_Shelf,7138198,"",""
cg02233183,Y,N_Shore,16634382,"",""
cg02233190,Y,N_Shore,22737591,"",""
cg02272584,Y,N_Shore,8146855,"",""
cg02288797,Y,N_Shore,14532022,"",""
cg02340092,Y,S_Shelf,16945913,"",""
cg02352633,Y,"",23561638,"",""
cg02402208,Y,N_Shore,9384707,"",""
cg02407581,Y,"",8553302,"",""
cg02432075,Y,Island,4870822,"",""
cg02494853,Y,Island,4868397,"",""
cg02522936,Y,"",22680010,"",""
cg02577797,Y,Island,2802968,"",""
cg02582450,Y,Island,14075806,"",""
cg02606988,Y,S_Shore,9216456,"",""
cg02616328,Y,Island,2803947,"",""
cg02624968,Y,N_Shore,10036321,"",rs75587805
cg02730008,Y,N_Shore,15814320,"",""
cg02802508,Y,N_Shore,9214477,"",""
cg02839557,Y,Island,6778641,"",""
cg02842889,Y,Island,2803127,"",""
cg02884332,Y,Island,22737946,"",""
cg03052502,Y,N_Shore,9193029,"",rs55694997
cg03055837,Y,N_Shore,16634126,"",""
cg03123709,Y,S_Shelf,15817871,"",""
cg03155755,Y,S_Shore,9385861,"",""
cg03244189,Y,Island,21238472,"",""
cg03258315,Y,Island,14077975,"",""
cg03266527,Y,N_Shore,15591101,"",""
cg03278611,Y,N_Shore,16941591,"",""
cg03359666,Y,S_Shelf,13332435,rs74706542,""
cg03416979,Y,N_Shore,23566288,"",""
cg03430010,Y,Island,15591607,"",""
cg03441493,Y,Island,14074417,"",""
cg03443143,Y,N_Shore,9363365,"",""
cg03515816,Y,N_Shore,9745295,"",""
cg03515901,Y,"",3447157,"",""
cg03533500,Y,S_Shelf,21668420,"",""
cg03535417,Y,Island,9302758,"",""
cg03601053,Y,N_Shore,15016101,"",""
cg03672679,Y,Island,17567897,"",""
cg03683899,Y,Island,2803070,"",""
cg03695421,Y,Island,14074773,"",""
cg03706273,Y,Island,16635745,"",""
cg03750315,Y,Island,22737896,"",""
cg03767353,Y,Island,2658057,"",""
cg03769088,Y,"",8120126,"",""
cg03827298,Y,Island,24454927,"",""
cg03905640,Y,"",19625308,"",""
cg03930849,Y,"",26716289,"",""
cg04016144,Y,N_Shore,9215053,"",""
cg04021548,Y,N_Shore,16634027,"",""
cg04023335,Y,Island,14100573,"",""
cg04042030,Y,Island,6778623,"",""
cg04123665,Y,N_Shelf,6131007,"",""
cg04169747,Y,N_Shelf,2655740,"",""
cg04170994,Y,Island,20488293,"",""
cg04193779,Y,N_Shelf,9170562,"",""
cg04303809,Y,Island,14649201,"",""
cg04351468,Y,"",9158941,"",""
cg04419680,Y,S_Shore,16637061,"",""
cg04448376,Y,Island,15591617,"",""
cg04462340,Y,S_Shore,13911503,"",""
cg04477336,Y,"",3447814,"",rs1053786
cg04493908,Y,N_Shore,7426653,"",""
cg04559508,Y,S_Shelf,9387798,"",""
cg04576441,Y,S_Shelf,15866837,"",""
cg04689676,Y,Island,7142046,"",""
cg04691144,Y,N_Shore,16634373,"",""
cg04790916,Y,Island,15591260,"",""
cg04792227,Y,Island,17568097,"",""
cg04817258,Y,S_Shelf,6117321,"",""
cg04831594,Y,"",8501021,"",""
cg04840163,Y,S_Shore,2804320,"",""
cg04864270,Y,N_Shore,13477005,rs75094519,rs76794255
cg04958669,Y,N_Shore,9342990,"",""
cg04964672,Y,Island,7428198,"",""
cg05051262,Y,Island,23566572,"",""
cg05098815,Y,"",9449618,"",""
cg05128824,Y,N_Shore,15015176,"",""
cg05163709,Y,N_Shore,7141248,"",""
cg05202434,Y,"",8571846,"",""
cg05213048,Y,Island,14100276,"",""
cg05230942,Y,S_Shore,21155270,"",""
cg05367916,Y,N_Shore,6172783,"",""
cg05378695,Y,"",9528418,"",""
cg05408674,Y,S_Shore,6136711,"",""
cg05480730,Y,Island,7142073,"",""
cg05530472,Y,"",6742689,"",""
cg05544622,Y,Island,9303646,"",""
cg05557315,Y,N_Shore,9476544,"",""
cg05608794,Y,Island,14649668,"",""
cg05618150,Y,N_Shore,7140718,"",""
cg05621349,Y,N_Shore,21729069,rs35508110,""
cg05672930,Y,Island,21729555,"",""
cg05678960,Y,Island,6133838,"",""
cg05725925,Y,N_Shore,21729058,rs1183745,""
cg05782707,Y,"",9641402,"",""
cg05865243,Y,Island,6114255,"",""
cg05890011,Y,"",14774195,"",""
cg05939513,Y,S_Shore,16942232,"",""
cg05940236,Y,Island,15017297,"",""
cg05954446,Y,"",6738929,"",""
cg05964935,Y,N_Shore,13462412,rs75400181,rs76877793
cg05999368,Y,S_Shelf,24044078,"",""
cg06060201,Y,Island,20488280,"",""
cg06065495,Y,S_Shore,21666309,"",""
cg06231362,Y,N_Shelf,21726406,"",""
cg06237805,Y,Island,8147958,"",""
cg06247034,Y,N_Shore,16634255,"",""
cg06322277,Y,"",22917937,"",""
cg06479204,Y,Island,15591533,"",""
cg06502680,Y,N_Shore,21728952,"",""
cg06558765,Y,Island,2803610,"",""
cg06576965,Y,"",8551551,"",""
cg06587955,Y,S_Shelf,9368165,"",""
cg06628792,Y,Island,21240004,rs13303801,rs13303829
cg06636270,Y,N_Shore,9173300,"",""
cg06855731,Y,S_Shore,9931079,"",""
cg06865724,Y,"",24445690,"",""
cg07456370,Y,Island,15863486,"",""
cg07607525,Y,Island,7142752,"",""
cg07728631,Y,Island,14100068,"",""
cg07731488,Y,Island,21729314,"",""
cg07747963,Y,"",22917087,"",""
cg07765982,Y,"",6263841,"",""
cg07795413,Y,"",16733930,"",""
cg07851521,Y,N_Shore,6113261,"",""
cg07939587,Y,Island,2657936,"",""
cg07950979,Y,"",15451782,"",""
cg08045599,Y,N_Shore,7140572,"",""
cg08053115,Y,"",9605072,"",""
cg08160949,Y,S_Shelf,8150875,"",""
cg08242338,Y,Island,6114379,"",""
cg08258654,Y,S_Shore,9237650,"",""
cg08265308,Y,Island,28555550,"",""
cg08314875,Y,N_Shore,15015601,"",""
cg08357313,Y,"",9161051,"",""
cg08455548,Y,Island,4867968,"",""
cg08528516,Y,N_Shore,15015995,"",""
cg08593141,Y,S_Shore,15866447,"",""
cg08596608,Y,Island,14533505,"",""
cg08635406,Y,N_Shore,9214483,"",""
cg08673225,Y,"",2708972,"",""
cg08680991,Y,N_Shore,6131963,"",""
cg08702825,Y,Island,8148094,"",""
cg08715207,Y,Island,22737969,"",""
cg08739478,Y,N_Shelf,8145779,"",""
cg08816194,Y,"",16733442,"",""
cg08820785,Y,Island,22738029,"",""
cg08921682,Y,"",6891543,"",""
cg09081202,Y,N_Shelf,22735320,"",""
cg09093035,Y,Island,14074689,"",""
cg09197443,Y,Island,14107195,"",""
cg09223632,Y,Island,10033460,rs76918037,""
cg09228985,Y,S_Shore,21666078,"",""
cg09230658,Y,S_Shelf,14081314,"",""
cg09300505,Y,Island,16942154,"",""
cg09350919,Y,N_Shore,9365070,"",""
cg09408193,Y,S_Shore,20501241,"",""
cg09460641,Y,Island,9385586,"",""
cg09546548,Y,Island,7141818,rs3116332,""
cg09595415,Y,N_Shore,2655942,"",""
cg09703571,Y,N_Shore,4867908,"",""
cg09728865,Y,Island,6780027,"",""
cg09730640,Y,S_Shore,14533708,"",""
cg09732580,Y,N_Shelf,15012764,"",""
cg09748856,Y,Island,16636697,"",""
cg09804407,Y,"",16733251,"",""
cg09829904,Y,"",2823782,"",""
cg09856092,Y,Island,15016590,"",""
cg09898573,Y,S_Shore,14100824,"",""
cg10051237,Y,N_Shore,14074025,"",""
cg10067523,Y,"",8681688,"",""
cg10076560,Y,Island,21729144,"",""
cg10172760,Y,N_Shore,22736833,"",""
cg10213302,Y,Island,2802975,"",""
cg10239257,Y,S_Shore,9366496,"",""
cg10252249,Y,Island,20508275,"",""
cg10267609,Y,N_Shore,24453757,"",""
cg10338539,Y,N_Shore,2655977,"",""
cg10363397,Y,Island,15864778,"",""
cg10422744,Y,N_Shelf,16632438,"",""
cg10465579,Y,Island,4867963,"",""
cg10557773,Y,N_Shore,2801877,"",""
cg10593480,Y,S_Shore,22738771,"",""
cg10620659,Y,N_Shore,22737391,"",""
cg10646950,Y,"",20748782,"",""
cg10666546,Y,Island,23566863,"",""
cg10691859,Y,"",21041339,"",""
cg10698069,Y,Island,15016598,"",""
cg10799208,Y,"",22681436,"",""
cg10811597,Y,Island,21239219,"",""
cg10835413,Y,N_Shore,10035202,rs77147245,""
cg10841270,Y,"",22917104,"",""
cg10959847,Y,S_Shore,9707927,"",""
cg10990737,Y,S_Shore,16637142,"",""
cg11021362,Y,"",23756676,"",""
cg11131351,Y,N_Shore,2802287,"",""
cg11225091,Y,N_Shore,22737663,"",""
cg11684211,Y,Island,21239607,"",""
cg11816202,Y,Island,21239332,"",""
cg11898347,Y,N_Shore,2655866,"",""
cg12456573,Y,Island,6134650,"",""
cg13252613,Y,S_Shore,9747748,"",""
cg13268984,Y,Island,15863367,"",""
cg13308744,Y,N_Shore,22736584,"",""
cg13365400,Y,"",27210334,"",""
cg13419214,Y,"",6341961,"",""
cg13618458,Y,N_Shelf,6775803,"",""
cg13654344,Y,N_Shelf,2654978,"",""
cg13765957,Y,"",21208621,"",""
cg13805219,Y,S_Shelf,6137453,"",""
cg13808036,Y,N_Shore,24453658,"",""
cg13845521,Y,Island,21238886,"",""
cg13851368,Y,Island,14074873,"",""
cg13861458,Y,Island,9304971,"",""
cg13884608,Y,"",5608629,"",rs2556917
cg14005657,Y,N_Shore,9365108,"",""
cg14029254,Y,"",22918261,"",""
cg14133106,Y,S_Shelf,14652924,"",""
cg14151065,Y,N_Shore,19678535,"",""
cg14157445,Y,"",14774019,"",""
cg14170959,Y,N_Shore,2802217,"",""
cg14180491,Y,Island,15016705,"",""
cg14210405,Y,Island,9930240,rs80050400,""
cg14248084,Y,Island,14076009,"",""
cg14273923,Y,Island,28555912,"",""
cg14303457,Y,S_Shelf,14537211,"",""
cg14442616,Y,"",15031167,"",""
cg14463736,Y,S_Shore,15817372,"",""
cg14466580,Y,Island,10037020,"",""
cg14467015,Y,"",23757241,"",""
cg14492024,Y,N_Shore,21729049,"",""
cg14526044,Y,N_Shore,2802103,"",""
cg14671357,Y,"",7676811,"",""
cg14720093,Y,Island,10033382,"",rs75746300
cg14741114,Y,"",14774198,"",""
cg14742615,Y,S_Shore,17569363,"",""
cg14778208,Y,"",7569246,"",rs72618716
cg14931215,Y,"",21867702,"",""
cg14933403,Y,S_Shelf,7146170,"",rs3097074
cg14972466,Y,N_Shore,2802332,"",""
cg15027426,Y,Island,21664604,"",""
cg15059553,Y,N_Shore,22737505,"",""
cg15183843,Y,N_Shelf,14529720,"",""
cg15197499,Y,Island,6778939,"",""
cg15273954,Y,"",14773684,"",""
cg15281205,Y,"",21100472,"",""
cg15295597,Y,Island,4868368,"",""
cg15329860,Y,"",21906636,"",""
cg15345074,Y,Island,21239461,"",""
cg15422579,Y,N_Shore,22737424,"",""
cg15429127,Y,Island,15016579,"",""
cg15431336,Y,S_Shore,4872931,"",""
cg15462332,Y,"",24052532,"",""
cg15516537,Y,N_Shelf,24036882,"",""
cg15563434,Y,Island,2657879,"",""
cg15662272,Y,"",21906974,"",""
cg15682806,Y,S_Shore,9747821,"",""
cg15682993,Y,Island,21729251,"",""
cg15700967,Y,"",6954228,"",""
cg15746461,Y,"",14774193,"",""
cg15758480,Y,S_Shelf,13914013,"",""
cg15781156,Y,"",7569967,"",""
cg15794778,Y,Island,21665021,"",""
cg15810474,Y,S_Shore,9306450,"",""
cg15849038,Y,N_Shore,6172428,"",""
cg15935877,Y,Island,9303715,"",""
cg16292375,Y,Island,19691502,"",""
cg16552926,Y,N_Shore,23694891,"",""
cg16626452,Y,Island,9195514,"",""
cg16894943,Y,Island,20488269,"",""
cg17115812,Y,N_Shore,19678528,"",""
cg17430262,Y,Island,14649051,"",""
cg17560699,Y,S_Shore,15593045,"",rs78702066
cg17651935,Y,S_Shore,14078666,"",""
cg17660627,Y,S_Shore,21729665,"",rs1183742
cg17741448,Y,"",22917782,"",""
cg17769199,Y,N_Shore,9193058,"",""
cg17812515,Y,Island,15863901,"",""
cg17816615,Y,S_Shelf,15019332,"",""
cg17834650,Y,N_Shore,9214205,"",""
cg17837162,Y,N_Shelf,9340946,"",""
cg17913570,Y,N_Shelf,9382523,"",""
cg17939569,Y,"",27009430,"",""
cg17972491,Y,"",6742726,"",""
cg18032798,Y,S_Shore,15816361,"",""
cg18058072,Y,S_Shelf,2807288,"",""
cg18077436,Y,Island,15016622,"",""
cg18085787,Y,N_Shelf,14646665,"",""
cg18113731,Y,Island,16636984,"",""
cg18163559,Y,N_Shelf,9742930,"",""
cg18168924,Y,"",7177888,"",""
cg18188392,Y,Island,14649262,"",""
cg19244032,Y,Island,16636990,"",""
cg20106158,Y,Island,6388486,"",""
cg20256738,Y,Island,6114404,"",""
cg20401549,Y,Island,7141681,"",""
cg20474581,Y,"",14812997,"",""
cg20764275,Y,Island,17568616,"",""
cg20864678,Y,N_Shore,21729037,"",""
cg21106100,Y,Island,28555536,"",""
cg22051787,Y,S_Shore,24549725,"",""
cg22509014,Y,N_Shore,9172448,"",""
cg23308414,Y,Island,20508362,"",""
cg23834181,Y,N_Shore,17567486,"",""
cg24016855,Y,Island,9194584,"",""
cg24183504,Y,N_Shore,9384015,"",""
cg24393100,Y,Island,9745653,"",""
cg24837623,Y,N_Shore,2802900,"",""
cg25012987,Y,Island,19691491,"",""
cg25032547,Y,"",14773536,"",""
cg25059696,Y,S_Shelf,7431190,"",""
cg25071634,Y,N_Shore,9172441,"",""
cg25363292,Y,S_Shore,13472366,rs74667230,rs77003715
cg25427172,Y,Island,23566730,"",""
cg25443613,Y,"",2709605,"",""
cg25518695,Y,N_Shore,16636258,"",""
cg25538674,Y,S_Shore,9197029,"",""
cg25640065,Y,S_Shelf,23569324,"",""
cg25667057,Y,N_Shore,17567474,"",""
cg25704368,Y,N_Shore,9173280,"",""
cg25705492,Y,S_Shelf,9307448,"",""
cg25756647,Y,N_Shore,21728575,"",""
cg25815185,Y,"",21906868,"",""
cg25914522,Y,N_Shelf,24452543,"",""
cg25918849,Y,"",23753332,"",""
cg26046487,Y,"",20736147,"",""
cg26058907,Y,"",22917942,"",""
cg26198148,Y,N_Shore,15814685,"",""
cg26251715,Y,N_Shelf,21236229,"",""
cg26475999,Y,Island,9344960,"",""
cg26488634,Y,S_Shore,14108207,"",""
cg26497631,Y,S_Shelf,24331358,"",""
cg26517491,Y,"",21906943,"",""
cg26520468,Y,N_Shore,14099742,"",""
cg26928789,Y,"",22682393,"",""
cg26983430,Y,Island,24549675,"",""
cg26983535,Y,N_Shore,22737594,"",""
cg27049643,Y,"",21906893,"",""
cg27214488,Y,N_Shore,16635501,"",""
cg27248959,Y,N_Shore,10035199,"",""
cg27254225,Y,N_Shelf,15811945,"",""
cg27265812,Y,N_Shore,16634594,"",""
cg27325772,Y,S_Shelf,9178472,"",""
cg27355713,Y,N_Shore,6778543,"",""
cg27402302,Y,S_Shelf,13589640,"",""
cg27433982,Y,Island,2802985,"",""
cg27443332,Y,N_Shore,16634795,"",""
cg27509967,Y,"",21877683,"",""
cg27539833,Y,"",3447947,"",""
cg27545697,Y,Island,10037049,"",""
cg27578568,Y,"",8572427,"",""
cg27611726,Y,S_Shelf,6783873,"",""
cg27636129,Y,N_Shore,2655927,"",""
cg00005617,X,N_Shore,68059898,"",""
cg00006815,X,N_Shore,103810908,"",""
cg00008932,X,S_Shore,71498597,"",""
cg00008945,X,"",80377379,"",""
cg00011200,X,Island,48380234,"",""
cg00011891,X,Island,153714660,"",""
cg00012395,X,N_Shore,129472061,"",""
cg00014152,X,Island,48457128,"",""
cg00016522,X,S_Shore,149737876,"",""
cg00016934,X,Island,40035961,"",""
cg00018204,X,"",151128776,"",rs928989
cg00018261,X,Island,117957689,"",""
cg00021786,X,Island,31090306,"",""
cg00023415,X,S_Shore,48435152,"",""
cg00026186,X,Island,48367230,"",""
cg00027454,X,"",46740285,"",""
cg00029931,X,N_Shore,100645741,"",""
cg00030125,X,Island,125299403,"",""
cg00031235,X,N_Shore,49124819,"",""
cg00032666,X,"",149613398,"",""
cg00034639,X,Island,138529221,rs7884121,""
cg00034731,X,N_Shore,68348071,"",""
cg00037117,X,N_Shore,44730718,"",""
cg00040419,X,N_Shore,13670660,"",""
cg00040455,X,Island,30326676,"",""
cg00040923,X,N_Shore,100806880,"",""
cg00046099,X,Island,54556443,"",""
cg00051952,X,N_Shore,153605299,"",""
cg00060882,X,Island,24072811,"",""
cg00070542,X,Island,79830095,"",""
cg00072288,X,Island,153200492,"",""
cg00072587,X,N_Shore,19531567,"",""
cg00072799,X,"",78427682,"",""
cg00072839,X,N_Shore,91035267,"",""
cg00074638,X,"",2883307,"",""
cg00078867,X,"",48542398,"",""
cg00098732,X,"",132096915,"",""
cg00108056,X,Island,153627317,"",""
cg00108737,X,N_Shore,117628241,"",""
cg00111239,X,Island,71238329,"",""
cg00112256,X,Island,117629928,"",""
cg00113623,X,Island,153640221,"",""
cg00114625,X,Island,24483478,"",""
cg00114913,X,Island,118107540,"",""
cg00115511,X,Island,46404799,"",""
cg00116265,X,N_Shore,46306111,"",""
cg00116709,X,Island,49020091,"",""
cg00117066,X,"",16140434,"",rs12690253
cg00117663,X,"",35816347,"",""
cg00120172,X,S_Shore,77042539,"",""
cg00121904,X,Island,43741826,"",""
cg00123001,X,N_Shore,13395880,"",""
cg00124708,X,"",100877463,"",""
cg00126657,X,"",47967250,"",""
cg00126698,X,"",100640503,"",""
cg00128197,X,Island,53461455,"",""
cg00130498,X,N_Shore,129192712,"",""
cg00136787,X,N_Shore,153704948,"",""
cg00139317,X,"",24665544,"",""
cg00139547,X,"",119603329,"",""
cg00140085,X,"",152954284,"",""
cg00140189,X,S_Shelf,10128888,"",""
cg00141845,X,"",74493352,"",""
cg00142683,X,Island,118708623,"",""
cg00145348,X,Island,55026862,"",rs28382675
cg00147819,X,"",70349036,"",""
cg00148031,X,Island,25021725,"",""
cg00148587,X,N_Shore,49642080,"",""
cg00150363,X,N_Shore,107068750,"",""
cg00150874,X,N_Shore,40003284,"",""
cg00151234,X,Island,77359363,"",""
cg00156802,X,N_Shelf,19358457,"",""
cg00157034,X,"",151903752,"",""
cg00158454,X,Island,136509526,"",""
cg00168417,X,S_Shore,118285788,"",""
cg00170369,X,N_Shore,47481995,"",""
cg00173270,X,N_Shore,106691272,"",""
cg00177456,X,N_Shore,152927170,"",""
cg00179446,X,Island,118986947,"",""
cg00179598,X,N_Shore,38078359,"",""
cg00180631,X,N_Shore,149736640,"",""
cg00188257,X,S_Shelf,34677877,"",""
cg00188409,X,N_Shore,139592612,"",""
cg00188971,X,"",48343409,"",""
cg00190642,X,Island,103268431,"",""
cg00191052,X,N_Shore,46432770,"",""
cg00191758,X,"",55478814,"",""
cg00191903,X,"",105451070,"",""
cg00192980,X,Island,77394971,"",""
cg00194519,X,N_Shore,133679545,"",rs11096399
cg00194585,X,N_Shelf,131154158,"",""
cg00195237,X,N_Shore,68722118,"",""
cg00200463,X,Island,67913573,"",""
cg00202711,X,N_Shore,113818410,"",""
cg00203568,X,S_Shore,135850876,"",""
cg00203804,X,N_Shore,40691438,"",""
cg00205905,X,N_Shore,37208111,"",""
cg00206332,X,N_Shore,151140984,"",""
cg00206414,X,Island,39949510,"",""
cg00207916,X,Island,152666651,"",rs73640037
cg00213805,X,Island,129300008,"",""
cg00213853,X,S_Shore,154034091,"",""
cg00213957,X,Island,69509697,"",rs34866603
cg00216997,X,Island,48980153,"",""
cg00221961,X,N_Shore,15755566,"",""
cg00224026,X,"",134305728,"",""
cg00227584,X,Island,53123426,"",""
cg00228620,X,N_Shore,152782399,"",""
cg00230685,X,Island,17755839,"",""
cg00231549,X,N_Shore,33744176,"",""
cg00235887,X,N_Shelf,9430465,"",""
cg00238052,X,"",101380291,"",""
cg00238131,X,Island,71527298,"",""
cg00240113,X,Island,136648241,"",""
cg00241051,X,"",131262001,"",""
cg00241296,X,N_Shore,103811315,"",""
cg00241907,X,Island,12993156,"",""
cg00242233,X,"",62954565,"",""
cg00243584,X,"",119022103,"",""
cg00243747,X,"",100523724,"",""
cg00245012,X,S_Shore,57148068,"",""
cg00250879,X,N_Shore,135847852,"",""
cg00253811,X,Island,15353923,"",""
cg00255219,X,Island,135991858,"",""
cg00256358,X,"",129519536,"",""
cg00258480,X,Island,48776587,"",""
cg00260448,X,S_Shore,30907780,"",""
cg00261039,X,Island,40006123,"",""
cg00263759,X,N_Shore,153245522,"",""
cg00264378,X,Island,49687306,"",""
cg00265812,X,Island,47518579,"",""
cg00266918,X,Island,17755541,rs78030543,""
cg00267352,X,"",149613734,"",""
cg00267883,X,N_Shelf,129111502,"",""
cg00271516,X,N_Shore,48658022,rs12843578,""
cg00272286,X,"",100224722,"",""
cg00276426,X,Island,106243545,"",""
cg00279529,X,N_Shore,153523467,"",""
cg00279797,X,S_Shore,109561918,"",""
cg00290944,X,"",55101346,"",""
cg00291164,X,"",128939277,"",""
cg00291222,X,"",100910662,"",""
cg00291929,X,"",70129657,"",""
cg00292305,X,"",135729978,"",""
cg00295573,X,"",149009554,"",""
cg00303108,X,N_Shore,106360881,rs5962786,""
cg00304884,X,N_Shore,134569362,"",""
cg00321056,X,"",53311582,"",""
cg00323457,X,S_Shore,17879951,"",""
cg00328965,X,N_Shore,129243062,"",""
cg00329040,X,N_Shore,12600990,"",""
cg00331433,X,Island,16737800,"",""
cg00337921,X,Island,129091288,"",""
cg00347850,X,Island,46696907,"",""
cg00348113,X,N_Shore,70149293,"",""
cg00349460,X,N_Shore,153031002,"",""
cg00355945,X,N_Shore,11129241,"",""
cg00357087,X,"",119738550,"",""
cg00358459,X,S_Shelf,102945549,"",""
cg00359973,X,S_Shore,53449900,"",""
cg00360298,X,"",49779544,"",""
cg00360365,X,Island,54556536,"",""
cg00363318,X,S_Shore,74743636,"",""
cg00366674,X,N_Shore,49686431,"",""
cg00368230,X,Island,152865160,"",""
cg00369058,X,N_Shelf,62972602,"",""
cg00369477,X,Island,113818635,"",""
cg00370296,X,"",134306695,"",""
cg00373606,X,Island,68048660,"",""
cg00374088,X,Island,68758562,"",""
cg00374346,X,N_Shore,71349037,"",""
cg00375105,X,N_Shore,153625785,"",""
cg00378473,X,S_Shelf,23764087,"",""
cg00378717,X,Island,20160007,"",""
cg00378950,X,"",89177498,"",rs66503731
cg00379371,X,N_Shore,48774742,"",""
cg00379799,X,N_Shore,12154656,"",""
cg00379983,X,S_Shelf,129042628,"",""
cg00380985,X,N_Shore,101397146,"",""
cg00381376,X,S_Shore,53350680,"",""
cg00382651,X,N_Shore,102941915,"",rs6621729
cg00387056,X,N_Shore,135332628,"",""
cg00387940,X,"",149742400,"",""
cg00388637,X,N_Shelf,153653174,"",""
cg00389276,X,"",13062862,"",""
cg00389552,X,N_Shore,40028487,"",""
cg00389918,X,S_Shelf,70589283,"",""
cg00390049,X,N_Shelf,153082274,"",""
cg00391044,X,N_Shore,136510091,"",""
cg00391379,X,S_Shelf,9866388,"",rs2073944
cg00399450,X,Island,73834086,"",""
cg00400665,X,Island,68369933,"",""
cg00400999,X,"",101410998,"",""
cg00401265,X,"",78003113,"",""
cg00402910,X,Island,109561221,"",""
cg00403724,X,"",99839289,"",""
cg00404599,X,N_Shore,107018431,"",""
cg00406460,X,Island,47433415,"",""
cg00408231,X,Island,100807848,rs41307264,""
cg00409000,X,Island,17395816,"",""
cg00409480,X,S_Shore,38115655,"",""
cg00411843,X,N_Shore,139584448,"",""
cg00412010,X,S_Shore,110339837,"",""
cg00412368,X,Island,138285393,"",""
cg00412554,X,"",117107719,"",""
cg00416689,X,Island,102631887,"",""
cg00419390,X,S_Shelf,57024196,"",""
cg00419509,X,"",142804014,"",rs34378763
cg00420018,X,"",74962543,"",""
cg00420717,X,N_Shore,69663586,"",rs73216714
cg00422452,X,"",128872061,"",""
cg00423014,X,"",114252499,"",""
cg00426668,X,"",110514231,"",""
cg00427681,X,Island,68441389,"",""
cg00428012,X,Island,77166217,"",""
cg00428314,X,Island,118708830,rs28716292,""
cg00431602,X,N_Shore,23799775,"",rs2532624
cg00433220,X,S_Shore,46697120,"",rs5952964
cg00433890,X,N_Shelf,20280171,"",""
cg00434413,X,S_Shore,153201653,"",""
cg00451631,X,Island,25021643,"",""
cg00452819,X,Island,2847503,"",""
cg00455738,X,N_Shore,103498075,"",""
cg00456723,X,S_Shore,9858993,"",""
cg00457389,X,Island,18372736,"",rs6629274
cg00458505,X,Island,17393449,"",""
cg00459767,X,N_Shore,20157965,"",""
cg00466309,X,Island,148622572,"",""
cg00466819,X,S_Shore,20009661,"",""
cg00467547,X,"",123480594,"",""
cg00467854,X,N_Shore,25040358,"",""
cg00473051,X,N_Shore,39949232,"",""
cg00473354,X,Island,48334413,"",""
cg00478198,X,Island,49644500,"",""
cg00479885,X,N_Shore,134185269,"",""
cg00481999,X,S_Shore,47696603,"",""
cg00484111,X,N_Shore,41112620,"",""
cg00484940,X,Island,85403143,"",""
cg00488364,X,"",114253315,"",""
cg00489811,X,N_Shore,136627602,"",""
